,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
5,Atuona,PF,78.78,clear sky,-9.8,-139.0333,Pearl Resort
9,Del Rio,US,73.51,clear sky,29.3627,-100.8968,La Quinta Inn by Wyndham Del Rio
24,Robertsport,LR,78.78,clear sky,6.7533,-11.3686,Nana's Lodge
33,Altamira,BR,72.01,overcast clouds,-3.2033,-52.2064,Hotel Vale do Xingu
35,Tucupita,VE,71.06,broken clouds,9.0622,-62.051,Hotel salma suit
39,Kahului,US,78.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
42,Namatanai,PG,85.89,light rain,-3.6667,152.4333,Namatanai Hotel
43,Touros,BR,78.1,broken clouds,-5.1989,-35.4608,Pousada Atlântico
44,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
48,Faanui,PF,81.59,broken clouds,-16.4833,-151.75,Oa Oa Lodge
49,Rikitea,PF,78.66,few clouds,-23.1203,-134.9692,Chez Bianca & Benoit
52,Mahebourg,MU,75.25,few clouds,-20.4081,57.7,Grand Bel Air
53,Pisco,PE,70.02,moderate rain,-13.7,-76.2167,La Portada
54,Hilo,US,78.53,clear sky,19.7297,-155.09,Dolphin Bay Hotel
58,Grand Gaube,MU,75.38,overcast clouds,-20.0064,57.6608,Coco Villa
64,Ahipara,NZ,71.62,overcast clouds,-35.1667,173.1667,YHA Ahipara
78,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti International Resort
84,Uberaba,BR,73.98,broken clouds,-19.7483,-47.9319,Hotel Metrópole
94,Cidreira,BR,70.92,few clouds,-30.1811,-50.2056,Hotel Castelo
97,Mayumba,GA,75.29,light rain,-3.432,10.6554,Résidence Hôtelière Fabso
103,Kapaa,US,80.92,clear sky,22.0752,-159.319,Pono Kai Resort
105,Port Elizabeth,ZA,70.11,clear sky,-33.918,25.5701,Waterford Hotel
117,Saint-Philippe,RE,74.79,broken clouds,-21.3585,55.7679,Le Baril
119,Kokopo,PG,86.34,broken clouds,-4.352,152.2633,Hotel Kokopo
129,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Page 63 hostel
130,Sao Joao Da Barra,BR,74.52,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
140,Denpasar,ID,87.46,scattered clouds,-8.65,115.2167,Hotel Candra Adiguna
147,Aguadilla,PR,75.34,clear sky,18.4275,-67.1541,Hotel Las Cascadas
154,Celestun,MX,80.42,scattered clouds,20.8667,-90.4,Hotel Flamingo Playa
159,Puerto Ayora,EC,72.55,few clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
165,The Valley,AI,78.1,clear sky,18.217,-63.0578,CeBlue
166,Cabo San Lucas,MX,71.51,few clouds,22.8909,-109.9124,Comfort Rooms
174,Bucerias,MX,75.18,clear sky,20.75,-105.3333,Royal Decameron Complex
180,Grajau,BR,71.74,clear sky,-5.8194,-46.1386,Torre Palace Hotel
184,Kavieng,PG,85.19,scattered clouds,-2.5744,150.7967,Kavieng Hotel
186,Manokwari,ID,82.49,overcast clouds,-0.8667,134.0833,Hotel Arfak
193,Caraballeda,VE,77.07,few clouds,10.6112,-66.8522,Hotel Belmar
216,Noumea,NC,84.0,few clouds,-22.2763,166.4572,Hotel Gondwana
218,Ta Khmau,KH,78.85,few clouds,11.4833,104.95,Mangala Village
221,Sri Aman,MY,80.65,scattered clouds,1.2376,111.4621,Mega Inn
222,Alta Floresta,BR,70.56,overcast clouds,-9.8756,-56.0861,Villas Hotel
228,Jacqueville,CI,77.41,clear sky,5.2052,-4.4146,Complexe hôtelier Grand Roi
230,Oussouye,SN,73.35,overcast clouds,12.485,-16.5469,Campement Alulum
231,Bengkulu,ID,76.12,light rain,-3.8004,102.2655,Dena Hotel
238,Manakara,MG,73.06,overcast clouds,-22.1333,48.0167,Hotel H1
247,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Hotel SkylineInn
