,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Tuatapere,NZ,-46.1333,167.6833,74.34,46,100,4.29,overcast clouds
1,Busselton,AU,-33.65,115.3333,77.56,43,0,11.56,clear sky
2,Albany,US,42.6001,-73.9662,37.35,86,56,2.71,broken clouds
3,Vilhena,BR,-12.7406,-60.1458,69.82,97,100,5.44,overcast clouds
4,Chumikan,RU,54.7183,135.315,-11.43,78,94,22.75,overcast clouds
5,Atuona,PF,-9.8,-139.0333,78.78,77,9,21.05,clear sky
6,Chapais,CA,49.7834,-74.8492,26.38,95,97,6.42,overcast clouds
7,Tilichiki,RU,60.4667,166.1,-15.75,91,11,9.91,few clouds
8,Ushuaia,AR,-54.8,-68.3,42.46,75,0,20.71,clear sky
9,Del Rio,US,29.3627,-100.8968,73.51,43,0,11.5,clear sky
10,Punta Arenas,CL,-53.15,-70.9167,44.71,81,75,9.22,broken clouds
11,Yellowknife,CA,62.456,-114.3525,1.92,92,75,16.11,light snow
12,Ilulissat,GL,69.2167,-51.1,-5.78,71,80,29.93,heavy snow
13,Porto Walter,BR,-8.2686,-72.7439,77.23,75,85,5.97,overcast clouds
14,Jalu,LY,29.0331,21.5482,53.53,80,2,8.59,clear sky
15,Bluff,NZ,-46.6,168.3333,64.85,65,100,11.25,overcast clouds
16,Ponta Do Sol,PT,32.6667,-17.1,62.71,68,94,8.03,overcast clouds
17,Invermere,CA,50.5167,-116.0354,8.4,98,71,1.3,broken clouds
18,Hofn,IS,64.2539,-15.2082,44.28,85,100,33.58,overcast clouds
19,Agirish,RU,61.9247,63.0231,3.06,97,100,5.48,overcast clouds
20,Kodiak,US,57.79,-152.4072,35.11,80,0,4.61,clear sky
21,Ilava,SK,48.9977,18.2353,44.64,97,100,1.59,overcast clouds
22,Castro,BR,-24.7911,-50.0119,64.85,91,98,2.51,overcast clouds
23,Anadyr,RU,64.75,177.4833,-17.9,69,0,11.18,clear sky
24,Robertsport,LR,6.7533,-11.3686,78.78,78,0,7.0,clear sky
25,Chuy,UY,-33.6971,-53.4616,63.63,85,0,7.72,clear sky
26,Hermanus,ZA,-34.4187,19.2345,69.8,90,2,5.46,clear sky
27,Batagay,RU,67.6333,134.6333,-43.06,100,63,3.71,broken clouds
28,Pampierstad,ZA,-27.7832,24.6877,69.12,52,7,8.41,clear sky
29,Tias,ES,28.9611,-13.645,60.48,63,0,8.05,clear sky
30,Vila,PT,42.0304,-8.1588,32.88,94,31,2.95,scattered clouds
31,Bulungu,CD,-4.55,18.6,69.28,92,97,0.58,overcast clouds
32,Ouadda,CF,8.0777,22.4007,66.63,36,5,5.48,clear sky
33,Altamira,BR,-3.2033,-52.2064,72.01,98,100,2.57,overcast clouds
34,Hobart,AU,-42.8794,147.3294,60.26,64,75,9.22,broken clouds
35,Tucupita,VE,9.0622,-62.051,71.06,99,73,3.04,broken clouds
36,Edeia,BR,-17.3383,-49.9314,69.84,93,100,6.11,overcast clouds
37,Cece,HU,46.7706,18.6283,45.32,94,17,6.42,few clouds
38,Bambous Virieux,MU,-20.3428,57.7575,75.22,88,20,3.44,few clouds
39,Kahului,US,20.8947,-156.47,78.96,76,40,6.91,scattered clouds
40,Bredasdorp,ZA,-34.5322,20.0403,66.7,94,62,4.47,broken clouds
41,Barrow,US,71.2906,-156.7887,3.22,85,100,21.85,mist
42,Namatanai,PG,-3.6667,152.4333,85.89,67,37,7.05,light rain
43,Touros,BR,-5.1989,-35.4608,78.1,82,52,10.78,broken clouds
44,Avarua,CK,-21.2078,-159.775,78.85,89,75,9.22,light rain
45,Torbay,CA,47.6666,-52.7314,31.57,91,75,3.44,broken clouds
46,Salalah,OM,17.0151,54.0924,69.89,60,0,0.0,clear sky
47,Tailai,CN,46.3833,123.4,6.4,60,1,4.29,clear sky
48,Faanui,PF,-16.4833,-151.75,81.59,70,69,15.26,broken clouds
49,Rikitea,PF,-23.1203,-134.9692,78.66,73,18,11.41,few clouds
50,Muyezerskiy,RU,63.9333,31.65,4.89,98,96,1.79,overcast clouds
51,Izumo,JP,35.3667,132.7667,44.55,61,75,2.3,broken clouds
52,Mahebourg,MU,-20.4081,57.7,75.25,88,20,3.44,few clouds
53,Pisco,PE,-13.7,-76.2167,70.02,83,0,13.8,moderate rain
54,Hilo,US,19.7297,-155.09,78.53,76,0,8.05,clear sky
55,Nishihara,JP,26.1842,127.7558,69.46,63,75,12.66,broken clouds
56,La Ronge,CA,55.1001,-105.2842,14.25,85,0,5.75,clear sky
57,Moyale,KE,3.5167,39.0584,65.84,72,33,7.29,scattered clouds
58,Grand Gaube,MU,-20.0064,57.6608,75.38,73,100,1.99,overcast clouds
59,Irtyshskiy,RU,58.3333,68.1333,18.66,93,100,13.56,overcast clouds
60,Luderitz,NA,-26.6481,15.1594,64.13,88,31,7.7,scattered clouds
61,Sao Goncalo Do Sapucai,BR,-21.8922,-45.5953,63.91,95,100,2.95,overcast clouds
62,Shelburne,CA,44.0787,-80.2041,31.77,92,99,3.6,overcast clouds
63,Aswan,EG,24.0934,32.907,51.1,71,0,6.91,clear sky
64,Ahipara,NZ,-35.1667,173.1667,71.62,71,100,17.43,overcast clouds
65,Cape Town,ZA,-33.9258,18.4232,65.12,89,20,9.22,few clouds
66,Chokurdakh,RU,70.6333,147.9167,-39.15,100,94,3.67,overcast clouds
67,Lebu,CL,-37.6167,-73.65,56.75,84,0,14.23,clear sky
68,Nikolskoye,RU,59.7035,30.7861,26.49,93,100,5.37,light snow
69,Rocha,UY,-34.4833,-54.3333,60.22,89,4,5.91,clear sky
70,Ahuimanu,US,21.4447,-157.8378,81.54,74,20,8.05,few clouds
71,Victoria,HK,22.2855,114.1577,66.25,73,96,10.0,overcast clouds
72,Lompoc,US,34.6391,-120.4579,53.53,86,100,14.97,overcast clouds
73,Trat,TH,12.5,102.5,80.8,65,100,8.55,overcast clouds
74,Kharhial,IN,20.2833,82.7667,61.29,64,0,0.92,clear sky
75,Xai-Xai,MZ,-25.0519,33.6442,70.27,93,0,3.27,moderate rain
76,Oktyabrskiy,RU,54.4815,53.471,21.27,89,96,15.14,overcast clouds
77,Kirakira,SB,-10.4544,161.9205,84.43,72,100,11.65,overcast clouds
78,Vaini,TO,-21.2,-175.2,84.36,84,40,9.22,scattered clouds
79,Itoman,JP,26.1247,127.6694,70.18,64,75,12.66,broken clouds
80,Harindanga,IN,22.0383,88.3214,63.57,49,0,8.19,clear sky
81,Ribeira Grande,PT,38.5167,-28.7,61.77,84,100,18.01,overcast clouds
82,Katsuura,JP,35.1333,140.3,47.08,40,42,5.77,scattered clouds
83,Maarianhamina,AX,60.0973,19.9348,35.46,100,100,6.91,mist
84,Uberaba,BR,-19.7483,-47.9319,73.98,83,75,11.5,broken clouds
85,Tacuati,PY,-23.45,-56.5833,73.02,99,100,1.54,overcast clouds
86,Iisalmi,FI,63.5592,27.1907,13.66,95,100,1.41,overcast clouds
87,Conceicao Do Castelo,BR,-20.3683,-41.2439,63.41,96,60,5.08,broken clouds
88,Madison Heights,US,42.4859,-83.1052,39.96,91,0,5.75,mist
89,Mataura,NZ,-46.1927,168.8643,78.84,42,100,1.16,overcast clouds
90,Zhicheng,CN,30.2956,111.5047,47.26,49,9,1.57,clear sky
91,Khatanga,RU,71.9667,102.5,-8.63,97,100,10.58,light snow
92,North Platte,US,41.1239,-100.7654,30.09,92,100,19.57,snow
93,Chippewa Falls,US,44.9369,-91.3929,29.17,93,100,3.44,mist
94,Cidreira,BR,-30.1811,-50.2056,70.92,96,11,8.19,few clouds
95,Gusau,NG,12.1628,6.6614,63.34,30,39,15.46,scattered clouds
96,Luziania,BR,-16.2525,-47.9503,71.29,90,85,3.51,heavy intensity rain
97,Mayumba,GA,-3.432,10.6554,75.29,91,100,1.9,light rain
98,New Norfolk,AU,-42.7826,147.0587,59.92,58,100,1.99,overcast clouds
99,Port Hardy,CA,50.6996,-127.4199,42.98,75,100,17.27,overcast clouds
100,Mezhova,UA,48.2532,36.7347,40.73,92,75,7.58,broken clouds
101,Dikson,RU,73.5069,80.5464,-2.25,98,100,5.59,overcast clouds
102,Harpanahalli,IN,14.8,75.9833,65.88,74,0,6.33,clear sky
103,Kapaa,US,22.0752,-159.319,80.92,77,0,9.22,clear sky
104,Carnarvon,AU,-24.8667,113.6333,90.0,47,0,7.92,clear sky
105,Port Elizabeth,ZA,-33.918,25.5701,70.11,95,0,5.75,clear sky
106,Klaksvik,FO,62.2266,-6.589,41.92,74,56,25.84,broken clouds
107,Port Alfred,ZA,-33.5906,26.891,65.17,91,100,1.01,overcast clouds
108,Saskylakh,RU,71.9167,114.0833,-13.27,98,100,5.46,overcast clouds
109,Marawi,PH,7.9986,124.2928,69.55,95,100,2.84,overcast clouds
110,Qaanaaq,GL,77.484,-69.3632,-7.37,59,4,4.9,clear sky
111,Ceres,US,37.5949,-120.9577,46.17,92,100,11.5,moderate rain
112,Naze,JP,28.3667,129.4833,58.12,83,100,10.51,overcast clouds
113,Lac Du Bonnet,CA,50.2536,-96.0612,0.93,98,37,3.06,scattered clouds
114,Supe,PE,-10.8,-77.7333,69.48,85,100,7.54,overcast clouds
115,Vardo,NO,70.3705,31.1107,28.38,86,20,10.36,few clouds
116,Am Timan,TD,11.0297,20.2827,69.33,32,30,5.86,scattered clouds
117,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,79,4.81,broken clouds
118,Lixourion,GR,38.2019,20.4314,56.26,80,4,6.55,clear sky
119,Kokopo,PG,-4.352,152.2633,86.34,65,73,11.7,broken clouds
120,Matay,EG,28.419,30.7792,53.74,73,0,3.0,clear sky
121,Norman Wells,CA,65.282,-126.8329,8.64,72,75,16.11,light snow
122,Batsfjord,NO,70.6345,29.7185,28.33,86,20,11.5,few clouds
123,Mkuranga,TZ,-7.118,39.2078,73.04,87,10,4.65,clear sky
124,Thompson,CA,55.7435,-97.8558,14.16,85,100,8.05,light snow
125,Kieta,PG,-6.2167,155.6333,87.08,62,65,9.86,broken clouds
126,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,78,0,14.97,clear sky
127,Zamora,EC,-4.0692,-78.9567,67.86,89,98,4.09,overcast clouds
128,Sar-E Pul,AF,35.8333,66.1667,25.83,41,0,8.97,clear sky
