,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Beringovskiy,RU,63.05,179.3167,-13.97,94,100,11.3,overcast clouds
1,Arraial Do Cabo,BR,-22.9661,-42.0278,74.34,94,99,6.44,overcast clouds
2,Vaini,TO,-21.2,-175.2,84.36,79,75,14.97,moderate rain
3,Port Lincoln,AU,-34.7333,135.8667,64.76,57,83,15.57,broken clouds
4,Airai,TL,-8.9266,125.4092,70.52,64,93,4.63,overcast clouds
5,Bluff,NZ,-46.6,168.3333,59.25,94,100,5.17,light rain
6,North Bend,US,43.4065,-124.2243,53.92,82,100,6.91,overcast clouds
7,Tombouctou,ML,20.0,-3.0,60.66,22,100,10.02,overcast clouds
8,Broome,US,42.2506,-75.833,57.38,90,100,13.8,overcast clouds
9,Kahului,US,20.8947,-156.47,78.96,88,40,16.11,light rain
10,Dikson,RU,73.5069,80.5464,-14.85,99,100,1.61,overcast clouds
11,Kapaa,US,22.0752,-159.319,78.78,92,100,8.05,overcast clouds
12,Basak,PH,6.7274,124.1512,77.58,77,92,3.0,overcast clouds
13,Rikitea,PF,-23.1203,-134.9692,78.93,74,100,15.68,overcast clouds
14,Nehe,CN,48.4833,124.8333,-8.37,87,17,5.06,few clouds
15,Ushuaia,AR,-54.8,-68.3,44.26,65,0,3.44,clear sky
16,Saint George,US,37.1041,-113.5841,45.43,82,0,3.44,clear sky
17,Nome,US,64.5011,-165.4064,17.67,100,0,8.05,clear sky
18,Buraydah,SA,26.326,43.975,52.14,68,0,7.83,clear sky
19,Padang,ID,-0.9492,100.3543,77.05,82,100,1.57,overcast clouds
20,Nha Trang,VN,12.25,109.1833,75.2,95,100,12.73,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,66.0,80,100,1.97,light rain
22,Tarko-Sale,RU,64.9225,77.785,-0.62,95,100,17.36,overcast clouds
23,Nanortalik,GL,60.1432,-45.2371,23.79,73,100,21.09,overcast clouds
24,Blackwater,AU,-23.5833,148.8833,81.16,58,84,5.03,broken clouds
25,Hermanus,ZA,-34.4187,19.2345,56.8,65,100,13.13,light rain
26,Hervey Bay,AU,-25.2986,152.8535,72.99,90,100,9.37,overcast clouds
27,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,46,10.54,light rain
28,Nuevo Ideal,MX,24.8875,-105.0728,54.79,28,6,4.81,clear sky
29,Bichura,RU,50.5881,107.6022,-13.83,97,16,1.66,few clouds
30,Tuktoyaktuk,CA,69.4541,-133.0374,0.66,97,98,7.07,overcast clouds
31,Port Blair,IN,11.6667,92.75,79.38,78,17,10.6,few clouds
32,Cayenne,GF,4.9333,-52.3333,75.24,94,75,1.14,moderate rain
33,Atuona,PF,-9.8,-139.0333,78.98,71,0,20.02,clear sky
34,Bredasdorp,ZA,-34.5322,20.0403,60.26,61,100,10.85,overcast clouds
35,Strezhevoy,RU,60.7333,77.5889,6.01,97,100,6.85,overcast clouds
36,Baker City,US,44.7749,-117.8344,36.64,76,100,10.36,overcast clouds
37,Caravelas,BR,-17.7125,-39.2481,76.96,86,100,9.89,overcast clouds
38,Busselton,AU,-33.65,115.3333,78.98,41,0,13.47,clear sky
39,Khatanga,RU,71.9667,102.5,-43.65,100,94,2.75,overcast clouds
40,Kavieng,PG,-2.5744,150.7967,84.06,66,61,2.57,broken clouds
41,Ugoofaaru,MV,5.6667,73.0,79.18,68,34,7.85,scattered clouds
42,Puteyets,RU,65.1716,57.091,-18.27,100,100,1.34,overcast clouds
43,Vuktyl,RU,63.8567,57.3094,-9.36,97,100,2.62,overcast clouds
44,Nikolskoye,RU,59.7035,30.7861,12.79,98,77,1.9,broken clouds
45,Punta Arenas,CL,-53.15,-70.9167,46.51,87,100,8.05,moderate rain
46,Viedma,AR,-40.8135,-62.9967,73.83,36,100,8.25,overcast clouds
47,Hobart,AU,-42.8794,147.3294,63.27,85,75,12.66,broken clouds
48,Saskylakh,RU,71.9167,114.0833,-49.38,100,93,1.1,overcast clouds
49,Narsaq,GL,60.9167,-46.05,34.02,69,100,15.05,overcast clouds
50,Karratha,AU,-20.7377,116.8463,89.78,48,45,2.42,scattered clouds
51,Leningradskiy,RU,69.3833,178.4167,-17.54,96,100,10.09,overcast clouds
52,Kapit,MY,2.0167,112.9333,77.14,87,50,1.43,scattered clouds
53,Bethel,US,41.3712,-73.414,56.16,87,100,6.91,moderate rain
54,Broken Hill,AU,-31.95,141.4333,70.56,29,0,19.33,clear sky
55,Valparaiso,CL,-33.0393,-71.6273,62.24,82,20,5.75,few clouds
56,Port Hueneme,US,34.1478,-119.1951,62.26,95,100,16.11,mist
57,East London,ZA,-33.0153,27.9116,66.63,92,100,7.83,light rain
58,Albany,US,42.6001,-73.9662,40.64,93,100,2.57,overcast clouds
59,Bozeman,US,45.6796,-111.0386,29.62,69,0,5.75,clear sky
60,Saldanha,ZA,-33.0117,17.9442,61.11,73,0,28.48,clear sky
61,Butaritari,KI,3.0707,172.7902,81.14,72,100,16.37,overcast clouds
62,Singapore,SG,1.2897,103.8501,82.35,79,75,9.22,broken clouds
63,Bambanglipuro,ID,-7.95,110.2833,77.56,87,100,7.34,overcast clouds
64,Tasiilaq,GL,65.6145,-37.6368,6.96,64,99,6.24,overcast clouds
65,Sakakah,SA,29.9697,40.2064,42.17,76,0,10.11,clear sky
66,Poli,TZ,-3.3333,36.8,59.32,90,96,3.29,overcast clouds
67,Avarua,CK,-21.2078,-159.775,82.45,57,40,6.91,scattered clouds
68,Piranhas,BR,-16.4269,-51.8222,72.37,95,100,3.65,overcast clouds
69,Klaksvik,FO,62.2266,-6.589,34.72,77,22,1.54,few clouds
70,Norman Wells,CA,65.282,-126.8329,-7.35,97,22,4.21,few clouds
71,Najran,SA,17.4924,44.1277,59.61,52,38,6.76,scattered clouds
72,Alofi,NU,-19.0595,-169.9187,78.8,67,100,13.78,overcast clouds
73,Bull Savanna,JM,17.8868,-77.5902,72.09,73,1,5.68,clear sky
74,Luganville,VU,-15.5333,167.1667,78.03,94,100,3.74,light rain
75,Misratah,LY,32.3754,15.0925,62.22,61,100,7.67,overcast clouds
76,Upernavik,GL,72.7868,-56.1549,-20.69,84,28,10.38,scattered clouds
77,Shingu,JP,33.7333,135.9833,46.24,47,10,4.74,clear sky
78,Ovsyanka,RU,55.9575,92.5519,20.37,96,99,5.14,overcast clouds
79,New Norfolk,AU,-42.7826,147.0587,62.91,51,55,1.99,broken clouds
80,Karlovo,BG,42.6333,24.8,43.12,90,83,2.06,broken clouds
81,Matara,LK,5.9485,80.5353,72.09,90,6,4.9,clear sky
82,Tuatapere,NZ,-46.1333,167.6833,64.42,80,100,3.38,overcast clouds
83,Rio Grande,BR,-32.035,-52.0986,69.53,73,0,9.55,clear sky
84,Port Alfred,ZA,-33.5906,26.891,64.18,91,100,1.99,light rain
85,Provideniya,RU,64.3833,-173.3,1.8,94,100,7.43,overcast clouds
86,Kodiak,US,57.79,-152.4072,33.31,100,100,3.44,light rain
87,Nouadhibou,MR,20.931,-17.0347,68.72,48,78,14.14,broken clouds
88,Camacha,PT,33.0833,-16.3333,56.62,72,20,4.61,few clouds
89,Mandalgovi,MN,45.7625,106.2708,6.53,74,100,8.08,overcast clouds
90,Majene,ID,-3.5403,118.9707,77.61,84,100,5.08,overcast clouds
91,Pantelho,MX,16.9333,-92.55,58.05,98,10,0.45,light rain
92,Samarai,PG,-10.6167,150.6667,83.61,73,100,7.16,overcast clouds
93,Carutapera,BR,-1.195,-46.02,77.72,85,98,7.18,overcast clouds
94,Komsomolskiy,UZ,40.4272,71.7189,30.92,93,5,6.91,mist
95,Chokurdakh,RU,70.6333,147.9167,-48.48,100,65,0.92,broken clouds
96,Cape Town,ZA,-33.9258,18.4232,62.11,73,81,13.0,broken clouds
97,Udachnyy,RU,66.4167,112.4,-35.55,65,98,1.48,overcast clouds
98,Orocue,CO,4.7912,-71.3354,81.7,56,79,7.81,broken clouds
99,Balabac,PH,7.9868,117.0645,79.27,85,100,11.43,overcast clouds
100,Thompson,CA,55.7435,-97.8558,14.72,96,100,5.7,overcast clouds
101,Barrow,US,71.2906,-156.7887,3.22,92,100,17.27,light snow
